Text,Datatype,token_count
"I'm a Police officer and I'm tired of taking these reports where people are scammed anywhere from 100 to seriously $50,000. Its unfortunate that I have to sometimes tell them that I cannot do anything to bring them justice. (at my level at least) ##Icloud__boss1 Seriously thank you for fucking with these assholes.
You make me want to spend the next 10 years learning how to do this lol",Negative,91
He has been seen holding onto desk edges etc to prevent his hand shaking which they do if left free.,Neutral sentiment,22
I'm not selling so you can buy lower. Lol!!!  Holdddd!!,Negative,17
Mega Dice Token can turn my online exhibitions into a whole vibe <²=¼,Neutral sentiment,18
Lmao 3-7k??? This guy is on something strong! ==== this year is 12k min 35k max and the next 2 years well see a new ATH which I believe will be somewhere between 100 and 150k&. People who are calling for 2k btc or 500k btc clearly havent heard about a market cycle&,Question,88
"Going to zero, guys. A box full of dung, at best, nothing but Ponzi fraudsters controlling the info, the markets, the deal flows...front running every transaction, pump and dump! Give up, Nimrods, there is not there, there.",Negative,56
I buy some for Ninja Saga Emblems in 2009 =,Noise,15
"Not true. They all work for crypto. 
I have crypto and have LOTS OF PROBLEMS CASHING OUT BITCOIN TO USA.

PEOPLE DONT GET BITCOIN.
THEY ARE HELL WHEN YOU WANNA CASH OUT BITCOIN.

HENRY.",Negative,60
Dogecoin will change to X coin. Elon gonna buy Doge?,Question,16
Sold stacks of ETH and USDT because crypto amna has more advantages,Neutral sentiment,15
"This idiot is a laughing stock, making his own nonsense opinions on something he dont study. XRP IS KING =Q=",Negative,29
Interested in investing with bitcoin and getting back your profits,Question,11
NFT is the biggest MISUSE of tech. Blockchain changed the game (bitcoin OG tokens). all this other crap/scams afterwards.....e\hahahahahaha,Negative,35
Why do we have to work so hard to vilify cops? He didn't know what the guy was doing.,Question,24
Why you close this trade if you hold for long term ohod,Question,14
"Your work speaks volumes of the kind of man you areefficient, organized and result-oriented. Well done Dynamicllc invest on the internet Best Social Media Expertise Within you is the absolute power to rise above any situation or struggle,and transform it into the strongest and the most beautiful version of you ever.",Neutral sentiment,62
"Well I like him idk why because idk him but putin is extremely interesting and I love his walk btw.  Not that it matters I'm js . More of a man and he also has brass balls , like Trump.  He takes care of his people,  the food is clean it's beautiful in Russia I mean ......",Negative,69
But why in every crypto video I saw dudes who put same comments?,Question,15
"Pepe going to lead the frog coin, 2nd brett n 3rd turbo.",Noise,21
Investing in Web3 Infinity INFTY3 is like investing in your future self. Start today!,Neutral sentiment,22
"Please advise on this issue, I have a BitGet wallet with a USDT balance and a seed phrase (assault gown level wagon torch rough check easily survey host walk bus). How can I transfer them to Binance?",Question,46
OMG this is so true.  Stay out of any telegram groups unless your the smart one to dump first,Negative,23
Alemios focus on scalability and practical AI applications is what caught my attention. This isnt just hypeits substance.,Neutral sentiment,31
Another false prophet. Look at his track record. Its hilarious.,Negative,16
Edit it properly & repost. May b it can help you to short doge.=,Neutral sentiment,19
so sol beats eth and has quantum vaults?  im buying,Question,14
"Doge is only a joke , it is funny,  a lovely dog",Noise,16
"Great video bro , i watch jake tran too but you feel more geniuene to me . thank you please stay that way!",Noise,28
"Don't forget BUSDX, 5 months old and releasing utilties plus they have a virtual crypto payment out this month",Neutral sentiment,25
Wonder if he's hinting that doge may become payment for X payments,Question,16
Appreciate the words on XAI130G if enough know we will all have a green run with it,Neutral sentiment,23
XRP high of $2.81 today.  Ppl who dumped their xrp bc of this short may be regretting it.,Negative,29
Give her to me I'll tell her to go out the back door and after that you came the way you came in. Have a nice day,Noise,30
Im from 2024 and Coinbase restricted all accounts of those who owns Shiba smh,Objective,21
"I would like anyone reading this comment to append the fact that this video focuses on the absolute worst parts of crypto. 

Most people who are in crypto for legitimate reasons would agree with everything in this video, myself included. However, these same people would also point you in the direction of great projects building and communities who want nothing to do with these Ponzi schemes and cash grabs. 

You must also realise that crypto is essentially in its beta form. Each dumpster fire, from the ICO mania to axie infinity's SLP token mechanism, were failed attempts that have since been improved upon. This is conveniently left out of the video. 

I know it's a big ask, but if you read this comment I encourage you to go out and try and find your own information, but don't frame your search on finding the worst parts of crypto. Actively look for the best parts, see what they have to say, then make up your mind juxtaposing this video with what you find. It's easy to be swayed by a well produced YouTube video.",Negative,215
I am new to investing and find it difficult to use these strategies well. Where can I find a legitimate broker? Who will manage my account and also teach me how to trade cryptocurrency,Question,37
"Its true that crypto and NFTs were just scams.  They were scams by ""shady capitalists"" to make money off the general public.  But there is an even more dangerous scam and it is coming in fast!  It is a scam by our politicians to impose totalitarian control over our monetary system!  It is called a ""Central bank digital currency"", and it allows the government to fully monitor and track everything that people do with money!  It makes sense, that the scam starts with the capitalists, and is eventually adopted by government to try to impose totalitarianism!",Negative,118
"Funny thing is, the person who uploaded this video probably owns bitcoin lol",Negative,15
Web3 Infinity token still presents opportunities despite missing out on other coins. What makes it a strong contender?,Question,22
don't burn me at the steak for saying this but you could give watching the market and thinking for yourself a good try idk just my opinion here,Negative,31
Anything the SEC hates I luv & they really hate XRP,Noise,14
Sir make video on pi coin it's scam or genuine,Question,12
"He had no or loose his interest upon 

There's nothing to do with confident .....",Negative,18
Only 3 x from here =. . Haha! It will reach to 3 dollars =° easily =,Noise,25
Do you think BTC will break back? Any thoughts for ©XAI97C?,Question,18
Remember this when Bitcoin dies lmmfao homie easy money is over,Negative,16
There is WAY too much Truth in this Video. You have opened my eyes a bit&,Noise,19
"Nice scripted video.
Plus, who the fuck would wanna buy an iphone in the dark web when you can literally get it on amazon?",Question,28
I don't like him either.. But honestly he is 50+ and his body is normal for his age,Negative,23
Hes actually still right despite the pump& there will be sooo many bag holders. I already know a few whales waiting to dump =,Negative,31
"There will be one crypto, the fed coin or the global enslavement tolken by the time all of todays scams have run their course.",Negative,32
"The shortest way to success is to find a document or book in which everything was explained to you, not half explained. I can recommend the book Forbidden Crypto Hacks. So let me know what your impressions are.",Question,44
I think this dude is gonna be the most popular expert in investment and recovery soon cause he has done great job for me I lost all hope in trading not until I found him for goodness sake I must say this dude is the best expert in recovery and investment I recommend him the above name up=F,Neutral sentiment,70
"There were many get rich quick for hundreds of crypto, you been been hiding buddy",Negative,17
Who idiot told you to purchase from dark web ===,Question,16
Its my understanding that HODL just means Hold. Someone had a typo.,Negative,19
Im 3 minutes in and Im already loving how you are breaking this down!,Noise,21
"Dude probably sold at 16k and now has mental issues, my bag pumped x4 since you posted this, nice scam",Negative,27
for what?!!!! there are hungry people out the she's wealthy she is hosting you for God's sake,Negative,22
"NFT = taking something without any kind of value like a copyable jpg or even just some rows of online text and proceed selling it for millions of dollars. (For example I can just as well download the bored ape images to my computer for free easily. Its just a google image search away and in good enough resolution. I dont want them even free however as they symbolize one of the most pathetic things ever created by humankind! ) I dont get why people fall for this!? Buying NFTs Is like giving away your money without any resistance to a robber and then say ""thank you for robbing me!"" (Other then buying NFTs is not forced upon you like a robbery is. In any case NFT is a total scam that I hope vanishes really soon!)",Negative,160
"I think Bitcoin is different and is likely to stick around (It's more of an asset, not a currency). Digital gold. It will probably be used in case of emergency, inheritance, collateral, and for big purchases. It's not a day to day currency. Of course, it could go to zero, but that's unlikely imo. NFTs also have real use cases, and so do some other cryptos. Of course, many cryptos are total scams, but there are some real and useful things in the crypto space.",Neutral sentiment,111
"GROUND BREAKING NEWS ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Big ups to those out there who understands what it takes to surf and navigate the finncial world while being on the wining side, kudos EXTREMETOPPERS=ãCOM",Noise,49
Im gonna set a reminder to make cheeky comments in a year from now about how this video aged like milk >#>#,Noise,28
"I wouldn't put my trust in Coinbase, which has remained mute about the fact that they were actively involved in Mashinksy's looting of Celsius millions of dollars, with Coinbase just assisting him in cashing out.",Negative,45
"Good for him, If I became super rich I wouldnt want random fake people (who never wanted to talk to me before) coming up to me just because of my money.",Neutral sentiment,38
Why rich ppl pick other rich ppl to donate money too. Why wouldn't they. Pick someone poor and change their live?,Question,26
They not bitcoin millionaires then..lol those aren't enough to be on millionaire status,Negative,18
Staking securitizes a coin as far as I can tell. You buy in to something in the hope that they take your money (Or XRP in this case) and increase the value. That is why a lot of exchanges closed down their staking accounts.,Negative,56
SCORESENSEANDSPY> NET has surprised me beyond my imaginations theyve managed everything well for me which Im happy about am so impressed with your accuracy and transparency.,Positive,40
"Escape the fiat currency debasement that steals your wealth through inflation and taxation on the bitcoin life raft. Everything else is shitcoin.

Hold your own wealth in bitcoin and the state cannot dilute you to fund their endless wars. 

Fiat dollars from the Federal Reserve Bank are the actual ponzi.",Negative,62
"True going from one app to another,Exness it's way easier no complications...",Positive,18
Get PEPE tokens. Now his flight into space begins. Hours left until the records are shattered! 26/01/2025,Neutral sentiment,28
This Crypto Amna thing is about to bring some serious nostalgia AND cash. =¸,Negative,18
Even the  people advertising to set it up si it don't cost a penny to start are on a better deal for charging a fee to press keys on the computer that u don't know how to do,Neutral sentiment,42
"Last week, Kevin O'Leary talked in BBC news about how investors and traders can make millions through Crypto. He also recommended an expert Mrs Olivia Segal. Wondering if any viewers here are familiar with her services?",Neutral sentiment,46
==not everyone gets nervous around good looking women grow up,Noise,15
bro does'nt know what marketcap means. Just because something is cheap does not mean if u buy you will be rich. The market cap is highly important more than the coin price. For example PEPE (which is said in the video) right now is worth 0.00083 rs which fell like 95-96%. So congrats you lost all ur money. What you should actually be doing is checking the market cap of the coin. RIght now the marketcap right now is 4 billion dollars and its the 30th biggest coin in the world. So max to max u can get is like 3-4x return if you buy now. You cant expect it to go to 1 rs because if it hits 1rs then the total market cap of the coin will be 5.04 trillion dollars which is basically 2-3 times bigger than bitcoin aka the biggest and first crypto in the world. So pls dont trust these fake and uneducated crypto or finance gurus and go and study or research on your own. Or learn from dedicated crypto influencers.,Negative,223
"Crypto is not a scam, but there are scams in crypto. Why? Because its not regulated yet, everyone else who says crypto is a scam he didnt figure out a way to make money investing in it. Period.",Question,49
"Reef_Chain is a blockchain platform designed to usher in the era of DeFi (Decentralized Finance) and provide scalable, user-friendly solutions for the blockchain ecosystem. >)
#Reef $Reef #Blockchain #Web3",Neutral sentiment,49
I'm so glad I'm smart enough to not need someone to tell me not to buy anything off the dark web. =D=,Noise,29
"Ibinabahagi namin ang pinakamabisang pamamaraan para sa cryptocurrency mining. Huwag palampasin, tingnan ang aming channel ngayon",Noise,38
i am gonna start after your video .wish me good luck and subscribed,Noise,15
It's the dark web lmfao wtf it's not Amazon where you can call customer service,Negative,21
i try futures trading i start 5k php  i lost it all i enter 5m i open short the next day when i check my trade its all gone i set a tp and stop loss  ... how can i earned like yours,Negative,50
"$GATSBY elons biggest dog now is the time to accumulate not sell, our community is waiting for you join the party. A real 100x + once in a lifetime opportunity just a 2M mcap=6=6=%",Neutral sentiment,54
"Its fun how governments and banks try to make it look like a scam, when theyre the biggest ones out there",Negative,24
"The problem with the assumptions in this video is that it leaves out any comparison of bitcoin to the United States dollar. While bitcoin has its problems, this video is acting as if the United States dollar is somehow intrinsically better - but thats simply not the case. All currencies are inherently flawed. A more fair video would maintain present the flaws of all currencies. Anyone in Argentina, Venezuela, or any other country with high inflation would see the value of bitcoin in a much different way. Im from the United States, but Ive been informed about the federal reserve, and once you internalize the fact that a private entity controls the volume of the worlds reserve currency, it makes bitcoin seem a lot more valuable.",Negative,148
"He looked her up and down....
She was probably scared and flattered",Noise,15
Who cares wait for the big crash by a tiny bit and forget about it and see what happens,Negative,20
Web3 Infinity INFTY3 has attracted my attention as a seasoned investor. The project's unique features and significant community support make it a standout choice. Join the presale now and be part of something spectacular!,Neutral sentiment,44
Rocky k barame mat puch ki kon hai q ki ow tere aur tere gf ka aukat se bahar hain,Noise,30
Save this video for later watching.... lets say like 20 years :),Noise,15
I believe Kardden Token will change E-commerce forever. Thank me later!,Neutral sentiment,17
Yes it's work perfectly with sebasminer on telegram they just created my wallet with 3Bitcoin without any extra payment or change...... Thanks you for the help,Neutral sentiment,33
am i the only one  jisko sab bouncer laga ?,Question,15
"all supports break....it is a market rule
basically.  When you trade at a support level.  Set your stop loss on the other side of it but not too close.  So many times the market will go over only to fail.  Generally.  the much safer play concerning support areas is to allow several rejection candles to happen.  What you actually want to see is the last low of the recent uptrend get broke or the last high of the recent bear trend to get broke.  Yup...we left some possible cash on the table.  But now we can trade with confidence and we have increased our win / loss rate significantly.",Negative,134
What bank in the world is going to survive the next five years?,Question,15
Im coming back here later and laughing at your dumbass when xrp hits 10k,Noise,19
"I lost over $70K when everything started to tank. Not because I was in an exchange that went belly up. I was just stupid to hold and because that's what everyone said. I'm still responsible. It just taught me to be a better investor now that I understand more of what could go wrong. It took me over two years of being in the market, I'm really grateful I find one source to recover my money, at least $9k profits weekly. Thanks so much  Mrs Ann Elizabeth Messer.",Positive,107
"""this is why you dont buy from the dark web""

THEN WHY DID YOU BUY FROM THE DARK WEB???",Question,23
"Yes, we have already missed the deadline for those coins, but fortunately, we still have some possibilities, such Web3 Infinity Token.",Neutral sentiment,28
"the ""trader"" gives the most classic fake trader answer... the fake modest, oh I own so much I can't even keep track... 
more like $2k worth of btc",Neutral sentiment,39
Mars will evaporate before Dogecoin becomes the leading Global  Cryptocurrency =,Objective,19
The people who go to the bother of getting a mortgage for a house hope it will go up and maybe sell for profit at a later date.   Mobsters! Fraud! Ponsi scheme!.,Negative,41
"Ha, explain it now, and how big of a scam it is. =",Neutral sentiment,18
To is crypto and it will have the largest usecase  in crypto what exactly does Bitcoin do what usecase,Question,23
"my fantom is hacked 16.1.2025 
they stoled 5000 $  which is 18 month hard working in my couuntry",Negative,34
"Thanks , i was trying to deliver this message everywhere I could , but now with strong channels like yours maybe we can safe some amateurs from losing their life savings",Neutral sentiment,32
Lol..there ain't no way BTC is going that high considering other major crypto assets will be available to purchase as ETFs going forward .,Negative,30
"Its ok, mining is not as profitable as it did...",Negative,13
He needs to sell bitcoin to someone who will buy in and hold that bag...,Negative,17
Tell you have to replace the power mosfets on the motherboard lol.,Neutral sentiment,16
Great job bro. Those are the words what I need now as a beginner. Appreciate it =O,Noise,22
WoW man; you are a master of communication. Great video and dialectical explanation of how xrp is behaving. Thanks for the info. The only issue I see is that xrp token is independent from the ripple network.,Neutral sentiment,47
Most US Petro Dollars are printed digitally. What's the difference and what is it worth?,Question,19
"Nas Daily in end: You don't need luck or money.
Nas Daily in start: He paid 1M dollars.",Negative,28
"Hello, I am the Manager of Atlantic Hash, please I want to chat privately for business. Briefly we need you to promote our business",Question,29
we will all be slaves to cbdc soon.  ...    =-,Positive,16
"well done, only there's still stupid people still out there, hellbent...",Noise,18
Please tell me what is happening right now? Ho ahead. Take a gander at what XRP is doing right this second. How many times has a crypto tech representative met with a president elect to talk about the future of crypto? Ooooh. That's right; none but Brad Garlinghouse. === Dummy!,Question,71
"The best project for privacy/vpn and Internet freedom is absolutely MASQ!! They have a super team,DYOR.
This project can touch 10B Mcap, is possible!!",Neutral sentiment,38
Saving 20% of my monthly salary generated me a fortune in a year (2020) trading on websites with a regulated Broker was the smartest move made and the best idea YouTube ever taught me.. now the right question is how do you meet regulated brokers or verified platforms ...,Neutral sentiment,57
This tells everything about how much of a joke crypto is=,Neutral sentiment,14
We just started 2023 with James Jani's explosive documentary. What a wonderful way to start the new year with a bang!,Neutral sentiment,28
What broker are you using to scalp STOCKS? (With low spread),Question,16
Now i can go the Britain with a 50 pound bill and demand the bank my 50 pound silver.,Neutral sentiment,23
"If the time goes back, I would Still not buy bitcoin, cuz i would still have no clue on its future at that time, and there are too many probabilities for any given item (digital or physical) and no one can guess!!! Like, what is the crypto coin that is now worthless that will blow up in the future, if you can answer this question NOW, then you might have guessed bitcoin boom before! Which is almost impossible to me",Question,91
Im thankful that he didnt invest in Dogecoin and rather went with some solid alts.,Question,24
Isme profit nai milyga convert same price pe Hoga na ki Extra profit.,Noise,20
"You are Doing Great Ranveer De-Coding Crypto World to the Common man, I have also watched your first episode, and this tough topic of crypto is becoming easy to understand. Pl feed-in more podcast on this subject. amazing to learn - All the best & good luck>p you are a rocking star <<< ",Neutral sentiment,69
if you notice that all crypto currency would fall and rise at the same time.  This seems that the big investors are always the winner.,Negative,29
"Can anyone help me out, i am having issues sending out USDT out from my OKX WALLET with recovery phrase (autumn copy news napkin feed pair churn erase demise cloth comfort lens) can anyone please help me out.",Question,48
Put the money in crypto that you can afford to loose. And so I put $100. Now waiting for a bigger fool.,Neutral sentiment,27
You are 99% correct and 1% away from being a bitcoin-maxi =	,Negative,20
"I love Elon's accent. Very sexy and quite easy to understand =M
Is that South African?
Not Canadian, surely.",Question,27
Trump found a way to pump a coin like steroids... crazy that Qarddin is an ICO instead of directly..,Negative,24
This is my dream to invest in crypto but more importantly to meet and greet a lot of important ppl. I am currently improving my networking skills at the moment,Neutral sentiment,32
What company do uou use when you fund your own account?,Question,14
"I was skeptical at first, but the ADX tokenomics make so much sense. Adaxum  could be a game-changer for long-term investors.",Neutral sentiment,33
"Well made video and great story telling, but it wasnt a balanced view of crypto. For example, Bitcoin isnt deflationary so you cannot use it as currency, isnt gold the same thing. You also used absurdist examples of people buying shitcoins to highlight the scams (Ponzi coin) calling them investors& these people were not investing but gambling which happens in the real world of traditional finance. Bitcoin transactions are slow& therefore worse than Mastercard. But you are comparing a centralised entity vs. a decentralised one. Winklevoss brothers buying in early therefore it smells of scam, how is this different from venture capitalists buying into Tesla early? Energy use in Bitcoin is crazy insane& what about energy use to run banks, arms guard trucks, security, people, print money, move money&",Negative,174
Adaxum E-Commerce AI combo is what sets it apart for me. Time to join the presale ASAP.,Neutral sentiment,25
"Now Bitcoin is at an all-time high of $89,550.00 dollars.  The hype is ripe!",Negative,24
You said XAI19P© will 100x in your last vid. Can you share more details? Everyone needs to know!,Question,28
This project is awesome. You can earn free OJX everyday if you login on their wallet,Neutral sentiment,20
"Thanks for the helpful material! I have a question: I have USDT in my TronLink wallet, and the only information I have is the cid phrase",Question,33
I wanna suggest a great project for you all to look into EYWA is here with the existing things the offer to the community,Neutral sentiment,27
Thisvguy is so wrong as bitcoin is about to get rug pulled back to zero,Negative,18
Bro I know how to use chrome inspect element ==,Question,14
"This guy is losing his mind as he gets older. Hopefully the Russian people over throw him before he really pisses off NATO. I have nothing against Russia or the Russian people, but if America tells me I have to go over there and spread some freedom, I will. Although I don't want too. Please get rid of him before he starts World War 3.",Negative,76
"Thank you for the content! am super excited about how my crypto investment is going so far, making $28,000 weekly from trading regardless of how bad it gets on the economy.=
",Neutral sentiment,39
Why is everyone talking about WinpToken can you guys tell me whats going on?,Question,18
I see you bought the top and sold the bottom >#,Noise,13
Seems there is alot of xrp fatboys in this chatroom.====,Neutral sentiment,23
Can't wait to see $REVUX hit $5 by the end of the year.,Neutral sentiment,19
"VOO.    60%
SCHG  40%
Or 

VTI.     60%
Individuals stocks 40%",Neutral sentiment,30
We all feel uncomfortable in front of you beautiful lady... It's a mark of real men,Noise,19
"And six months later =@=@=@
I if had come across your video few months ago,  i would have bought more xrp=",Noise,31
"4:34 Arun typing 'PAY ME $30,000,000,000' in the z-index of a webpage element is still more accurate than some tv shows on hacking lmao",Negative,40
"Dark web people be like - we aren't petty scammers =""",Negative,14
The fact that 35% of Bitcoin is held in long lost wallets speaks volumes. Almost half of its holders are lost coins.,Negative,27
Are u 5 years Old? Look at tha Use case an tech first before talkin sh&lets talk in 5 years again ;),Question,29
ap ripple k uper ek proper vedio banao is ka future btao plz,Noise,20
"Look, there are top 3 coins with utility/value.
The BTC and ETH had already BOOM and made many millionaires or even billionaires.

Will XRP be the third one? I believe so and it would be the most DYNAMIC one. Only time will tell.",Question,56
"Thanks to You Mate, I have realistic expectations for this bullrun. Got into crypto early this year and I have truly learned a lot from you about cycles, crypto and markets as a whole. Now I know that all assets/markets are heavily tied to each other and global economy has very high impact on Crypto. That is why I am very cautious about when traditional markets top and how this affects Bitcoin and altcoins. If i have not discovered your channel I would have blindly holding instead of engaging the market........ I have managed to grow a nest egg of around 9.3Bitcoin to a decent 44Bitcoin. in the space of a few months... I'm especially grateful to Evan Dannis whose deep expertise and traditional trading acumen have been invaluable in this challenging, ever-evolving financial landscape.",Neutral sentiment,162
I sold 200 bitcoins when it his 2500 = made around 500k and a big piece of that went to the taxman. Never regret taking a profit.,Negative,37
"That's so nice, he's spending time with his daughter =",Noise,15
They gave a millionaire 4 million dollars. I think I'm going to follow his example and run around with a fistful of change and start giving people quarters...,Positive,34
Nice video please. What is the best way to make money trading cryptocurrencies?,Question,16
I had so much opportunity but my dumbass never thought Ill be 2020 new currency,Negative,21
"Beautiful work man, and also a perfect bottom signal :D WAGMI (You recognise the noise but not talking about real tech and true projects. Its more than scams, but its not the jpegs and the ponzis DYOR everyone. ) <3",Negative,55
LMAO this didnt age well. thanks for the cheap entries,Noise,14
"The thing I always wondered in these types of scams is why even bother to send anything lol 
Sorry I know its not funny and u knew u were taking a risk but just saying they didnt need to send anything",Negative,49
Lord stop talking about ya selfand get inti it ya weirdo,Noise,15
"you have got to be the worst guy on crypto right? , oh how wrong you are and how badly this has aged, u need to retract these videos until u do i suggest everyone unsubscribe and dislike every video u put up because that is qhat u deserve #xrparmy",Negative,57
Ur a muppet pal shilling s&@t coins. Then Carl done a 5 million trade on it. Should be sued trying to get people to exit there positions,Negative,36
"One of the most frustrating thing about crypto is hearing people act like smart asses knowing what the hell they are getting into, throwing new terms and big sounding words doesn't mean they know how it works",Negative,40
"Lol, I said that 2013 bloody look at Bitcoin
 Lol",Negative,16
"in one of your old videos, you predicted eth to be  hitting $7k in 2024, and it is now only languishing around 3.2-3.5k. And now you are predicting $14k by 2025... SMH",Neutral sentiment,56
"F*ck all these comments, that are just bots spamming this comment section with fake ""reviews"".",Negative,22
This video didnt age well especially after today lmfao dumb as$ lol,Negative,18
"Great video and very straightforward. I don't see any other perfect time for one to invest in crypto and trade than now.  I dont think that buy and hold is a valid investment strategy anymore but trading is worth it and you make more money when you trade correctly.  just made my first $100,000 in crypto and I barely know how to express how happy and excited I am right now. Its all about knowing what strategy to apply and when.",Neutral sentiment,95
Alguien que traduzca =  . DISE QUE VENDAN O QUE COMPREN >>,Noise,27
"Legendary strategy, I put it to use the moment I saw the video<d, I cant thank you more=",Noise,26
I remember when you said grab your bag before the new year and you were dead on! Keep up the good work pimpin' Cardano to the Moon Baby!!!,Noise,34
