comment_id,comment,is_gibberish,has_link,translated_comment,detected_language,is_english,Level 1 ,Level 2 ,Level 3
video_224083,Rocky k barame mat puch ki kon hai q ki ow tere aur tere gf ka aukat se bahar hain,Unlikely,Does not contain link,,English,English,0,,
video_200982,7 followers bruh thats about the amount I made in 4 months,Unlikely,Does not contain link,,English,English,0,,
video_216642,"Ini udah penjelasan yang paling jelas,so jangan menye menye ngomongin crypto Kaya timoty Ronald manusia paling pintar sepanjang sejarah dan. Peradaban di dunia ini,gua bukan influencer tapi lu yakin aja,saat crypto hancur dalam waktu dekat ini gua udah siapin video buat mereka semua,manusia manusia cerdas kata mereka dan yang gaa beli crypto t0l0l g0bl0k katanya,gua udah ga sabar menyala dengan 1 video itu dan. Mendadak jadi artis =",Unlikely,Does not contain link,"This is already the clearest explanation, so don't just talk about Crypto like Timoty Ronald, the smartest man in history and. Civilization in this world, I am not an influencer but you are sure, when crypto is destroyed in the near future I have prepared a video for all of them, human beings are intelligent and who don't buy crypto t0l0l g0bl0k he said, I can't wait to turn on with 1 video and. Suddenly became an artist =",Indonesian,Not English,0,,
video_1373,Branch manager is annoying as hell when she keeps saying mhm,Unlikely,Does not contain link,,English,English,0,,
video_68774,A:>;L:> C B51O 18B:>2? 2500. B:C40 C B51O AB>;L:>? / ?83da6>;),Unlikely,Does not contain link,,English,English,0,,
video_95857,Laughing at all these xrp people in comments losing their shit.and sad actually,Unlikely,Does not contain link,,English,English,0,,
video_102539,"Sigma my ass. Little man...inferior...like most of the russians...ha, ha",Unlikely,Does not contain link,,English,English,0,,
video_124917,200k XAI26K$ and counting. Everyone else just gonna FOMO later lol =%,Unlikely,Does not contain link,,English,English,0,,
video_254161,"They laugh at his body

He laughs at their bank account








It is a joke pls relax",Unlikely,Does not contain link,,English,English,0,,
video_107961,Even the ant in the window is getting hot over m. Kelly,Unlikely,Does not contain link,,English,English,0,,
video_150387,Nft of Charlie bit my finger video makes sense now >%>%>%,Unlikely,Does not contain link,,English,English,0,,
video_151684,This is what I was searching for from past few days bro,Unlikely,Does not contain link,,English,English,0,,
video_105738,Well some girls like short fat bald obnoxious murdering fascists,Unlikely,Does not contain link,,English,English,0,,
video_106311,"one of his hands is always resting on the pistol holster
it remained his habit while he was in the KGB",Unlikely,Does not contain link,,English,English,0,,
video_100757,"If you knew Russian beauty, you would know how silly you are",Unlikely,Does not contain link,,English,English,0,,
video_165443,"This content is =%=%=% 

Thank you for the video, keep it up!",Unlikely,Does not contain link,,English,English,0,,
video_153861,"Great video again, Casey! But please, bring back the cats =1",Unlikely,Does not contain link,,English,English,0,,
video_80289, BCB 4>;6=0 1KBL @50:F8O :0: C $@0O :>340 >= C7=0; GB> >= <8;;80@45@,Unlikely,Does not contain link,BCB 4>;6=0 1KBL @50:F8O :0: C $@0O :>340 >= C7=0; GB> >= <8;;80@45@,Portuguese,Not English,0,,
video_226004,Phir se potato guruji Gussa ke phir se kuch halwa ulwa to na bol de===,Unlikely,Does not contain link,Phir se potato guruji gussa ke phir se kuch halwa ulwa to na bol de = = = = = = = = = = =,Indonesian,Not English,0,,
video_105162,"Nahh, he's trying to hide excited from being in front/ around a beautiful woman...",Unlikely,Does not contain link,,English,English,0,,
video_194094,What a waste of money =° > giving it to someone famous. Wonder what she did to get that Money =° >=======,Unlikely,Does not contain link,,English,English,0,,
video_10785,bruuuuh this guy is going to regret this for ever bro i swear JAJAJAJAJAJ I ALL READY FEEL BAD FOR HIM,Unlikely,Does not contain link,,English,English,0,,
video_95912,You sound goofy af === Like a jilted ex who sees the new guy shes dating and crumbles=.=.=.=.,Unlikely,Does not contain link,,English,English,0,,
video_223720,"Physics ko follow karke movie banayi jaye ye kaisa ghatiya logic hai dhruv beta.
Jise gf indian nahi pasand hai use indian movies kaha se pasand hogi.
Hume content  achha lagana chahiye chahe usme physics ka role ho ya na ho. Aise to tum robot, krrish, horror, bahubali sabka majak bana doge. 
Kaha se aate hai aise log(dhruv ko follow karane wale). 
Agar physics dekhe to saari action movie physics follow nahi karati to kya saari movie ka majak udaoge.",Unlikely,Does not contain link,,English,English,0,,
video_152690,"Are you enjoyed that dogezilla tshirt
click chere so =G",Unlikely,Does not contain link,,English,English,0,,
video_158969,Meri mausi ka ladka thode hi ha jo i would be knowing him,Unlikely,Does not contain link,Meri mausi ka ladka thode hi ha jo i would be known,Swahili,Not English,0,,
video_190341,"DOGE is the gift that keeps on giving! Hop aboard and get ready for liftoff!""",Unlikely,Does not contain link,,English,English,0,,
video_164135,"Love your energy, you really been putting me on with some game=ª=ª",Unlikely,Does not contain link,,English,English,0,,
video_194767,"i remember this , this is when ellen had her stage set to look like epstines islands satanic temple.  We are surrounded by evil .",Unlikely,Does not contain link,,English,English,0,,
video_73761,Nop broo never gonna happen keeep holding until 2100 ===,Unlikely,Does not contain link,Nop broo never gonna happen keeep holding until 2100 ===,Dutch,Not English,0,,
video_218186,Ya kalo payment mending pake token yang stabil kaya usdt/busd.,Unlikely,Does not contain link,He said he's always busy with the stabs to make token.,Indonesian,Not English,0,,
video_163582,"$71,000 just in two weeks Expert Christine Norine Martin you are so amazing.",Unlikely,Does not contain link,,English,English,0,,
video_94427,OMFG & you really are not all that clever anyways &hahaha who woyld have thought :-),Unlikely,Does not contain link,,English,English,0,,
video_50491,per bhai sell karte waqt profit ae ga or convet katen ge to profit mile ga ya ose price main hoga ans plz,Unlikely,Does not contain link,,English,English,0,,
video_217815,Menurut gua bisa tapi yang stable coin kyk usdt busd,Unlikely,Does not contain link,"According to me it can, but the stable coin like USDT Busd",Indonesian,Not English,0,,
video_20478,Bro great show thanks for all your super great video's <<,Unlikely,Does not contain link,,English,English,0,,
video_164990,sick vid man ! saw you there but didn't know your channel at the time ! Def a sub,Unlikely,Does not contain link,,English,English,0,,
video_58732,"GET READY TO MOON! $BOF is taking off! Join the crew and let's make some noise!
#BOFcomeback",Unlikely,Does not contain link,,English,English,0,,
video_77255,Go to the dark web we can't i want to know jesus,Unlikely,Does not contain link,,English,English,0,,
video_51997,"""Hard fork""....its almost like having some sort of ""central authority"" has a purpose.  Hmmm  ===",Unlikely,Does not contain link,,English,English,0,,
video_110905,The bad news is this video is 2 years old,Unlikely,Does not contain link,,English,English,0,,
video_181121,She Hurd his hhs head page mccudhd shrubs vvvseeyt  Snark bnas Kai. #howIheardthis,Unlikely,Does not contain link,,English,English,0,,
video_38292,Slow and steady makes it to the top Good job.,Unlikely,Does not contain link,,English,English,0,,
video_17896,"My ass was about to type ""so uh how much""...then I watched the whole video >&@",Unlikely,Does not contain link,,English,English,0,,
video_15102,Forget shiba Look at omikami and ryujin and you understand,Unlikely,Does not contain link,,English,English,0,,
video_159755,A 65 yr old lady here. Really enjoy seeing your positive attitude and life IS worth it!!!,Unlikely,Does not contain link,,English,English,0,,
video_233211,I wold like to SEE this video in the future,Unlikely,Does not contain link,,English,English,0,,
video_101720,"Glaubt keine Bilder, alles  kann man technisch manipulieren, kann auch sein das auch ein anderer mann sitzt",Unlikely,Does not contain link,"Do not believe any pictures, everything can be manipulated technically, it can also be that another man is sitting",German,Not English,0,,
video_81148,"I finally understand how it works now, Im glared I finally got the hint, but I continue to follow you to help me master this cryoto meme gold space,d=
",Unlikely,Does not contain link,,English,English,0,,
video_223866, Á¤Í¯¨Æ ²Íµ ¨®Í kgf ®Âµ¿ ¨¾ µ¹Ç³¨ ®¾¡¿¦Í¦Á .. ¹Á¡Á¿ ªÍ ¦Í²Á ¤ ¨¿Ã¸ÍÊ¡Á ®¾¤¾¡ËÁ ®ÁÆ ¯ËÍ¨Æ ®¾¡Á next time k ......   ¹¿¦¿ ®¾¤¾¡Í¤¾¨Æ kgf movie ¨Ë¡¿²Í² ¤ ªÁÍ¤¨Æ ¨Æ¨Æ,Likely,Does not contain link,Á¤í¯¨æ ²íµ ¨®Í kGF ®Âµ¿ ¨¾ µ¹Ç³¨ ®¾¡¿¦í¦Á. KGF MOVIE ¨Ë¡¿²Í² ¤ ªÁ í¤¨æ ¨ æ¨æ,Portuguese,Not English,0,,
video_131651,This week ©XAI97C makes me really grateful bring it up guys,Unlikely,Does not contain link,,English,English,0,,
video_97502,Excuse me I'm not wise ok stupid mindset binigyan Kita ng power sabi mo malakas ang power mo pero DHL nakkinig ka sakanila like trump po pinaekot kalang para Hindi matupad Ang Plano jan kana sakanila kana wag na Ako ok kaya monayan mag Isa Ako pahinga Mona po pagod na Ako sa lahat mag paliwanag ayaw nyoko panniwalaan diba so tingnan natin ok.,Unlikely,Does not contain link,Excuse me I'm not wise ok stupid mindset I gave you the power you said your power was strong but dhl you listened to them like trump po bait so that the plan was not fulfilled that they were not ok so i just rest a rest and i'm tired of everything i don't know if you don't believe it so let's see it is okay.,Tagalog,Not English,0,,
video_2194,"For God sake, someone give me some usdt... I really need it...
0x4d603849C4b003C91288397FdAF8345375b5f9c4",Unlikely,Does not contain link,,English,English,0,,
video_79476,As king I decree that 100 thousand be spent immediately,Unlikely,Does not contain link,,English,English,0,,
video_15416,The sound made me freaked out of something scary in that box,Unlikely,Does not contain link,,English,English,0,,
video_51602,"Each show is such an adventure, great effort banter family!",Unlikely,Does not contain link,,English,English,0,,
video_57304,"DOGE, it's so funny, he's so funny, I'll bet he has Trump in fits of laughter",Unlikely,Does not contain link,,English,English,0,,
video_223456,"Hi bro 
I earned a lot after your that video",Unlikely,Does not contain link,,English,English,0,,
video_120791,"Jeff Bezos inner dialouge be like:
~Come on Jeff, you can do this...Just pretend like you are on the phone~",Unlikely,Does not contain link,,English,English,0,,
video_105298,BU DORDKU BALI QAPNI F0K0RDN AÇLAR  BULAR BEL  ETMKDN HEÇ K0M0 D0QT0N ÖZÜN ÇKM0R.  SADC ONUN  O HRKT0N PUT0N  YALNAN RQS0YA VER0R  HM XTR0N DYMS0N HMD GEDN PRASES0N S0YAST0N TUSUN,Unlikely,Does not contain link,The DO Rdku Ba LI Gold F0K0RD N Opes These Belt Etm Kd N ever K0m0 D0Q T0N yourself Ç km0r.  Sadc her o h rkt0n put0n r but qs0ya ver0r h m x tr0n d ym s0n h md ged n prases0n s0yast0n tusun,German,Not English,0,,
video_78043,Tu marwane wali trader ho kya kesa name h tere chhanel ka marwar kr pesa kama rhi ho kya tum,Unlikely,Does not contain link,Tu Marwaane Wali Trader Ho Kya Kesa Name H Tere Chhanel Ka Marwar Kr Pesa Kama Rhi Ho Kya Tum,Swahili,Not English,0,,
video_232386,Dnt listen to this dude lmao it went up to 1.22 since this video,Unlikely,Does not contain link,,English,English,0,,
video_216620,"Crypto sebenarnya tidak punya underlying atau nilai sebenarnya seperti emas, hanya permainan pasar seperti saham nilainya sangat volatile",Unlikely,Does not contain link,"Crypto actually does not have an underlying or actual value like gold, only market games like stocks are very volatile",Indonesian,Not English,0,,
video_232773,"This guy is a clown, it will go up, just be patient",Unlikely,Does not contain link,,English,English,0,,
video_217986,Coba ubah sudut pandangnya. Yg volatile fiat nya. = semua tergantung apa yg jadi dasar.,Unlikely,Does not contain link,Try to change the point of view. The volatile fiat. = All depends on what is the basis.,Indonesian,Not English,0,,
video_164916,Good job man. Thanks for the content. =ª Amazing experience you had! =,Unlikely,Does not contain link,,English,English,0,,
video_239119,I wish my head size (includiding the brain) was as big as his ...,Unlikely,Does not contain link,,English,English,0,,
video_242832,Bro if it came to your house you would NOT be posting it,Unlikely,Does not contain link,,English,English,0,,
video_227539,# <5=O =025@=>5 1K ?5=0 87> @B0 8 CH59 ?>H;0 ===,Likely,Does not contain link,# <5 = o = 025 @=> 5 1k? 5 = 0 87> @b0 8 ch59?> H; 0 = = = =,Portuguese,Not English,0,,
video_145741,"THANK YOU ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- again VLADIMIRCORP.COM has saved more life than anyone of us here can imagine , their mining program is just what the new millennial needs to jump start their life",Likely,Does not contain link,,English,English,0,,
video_189172,"We need to put that song ""pepe pepe por ahi viene pepe"" lets go hopefully we sky rocket",Unlikely,Does not contain link,,English,English,0,,
video_65079,Y ? Go to Doctor take medicine for mental problem 1st-,Unlikely,Does not contain link,,English,English,0,,
video_166500,Huge (  *  ) (  *  ) by the way,Unlikely,Does not contain link,,English,English,0,,
video_195821,Alguien que traduzca =  . DISE QUE VENDAN O QUE COMPREN >>,Unlikely,Does not contain link,Someone to translate =. Design that sell or buy>>>,Spanish,Not English,0,,
video_197585,BRETT and ©Flokong are ATH kings. Thank you for making my day with your POV,Unlikely,Does not contain link,,English,English,0,,
video_220606,THANKS Ben for introducing me Avalanche. I came to know about that just because of you. I made  huuuuuge gains. Lots of love from india <î<ó,Likely,Does not contain link,,English,English,0,,
video_197590,Even my grandma asked me to hodl ©Flokong she knows man,Unlikely,Does not contain link,,English,English,0,,
video_69781,"Alex Becker, your crazy = but we love your channel and your content =M=",Unlikely,Does not contain link,,English,English,0,,
video_242278,Lol making a redbox and put inside your iphone box and bla bla bla from darkweb...pfffff,Likely,Does not contain link,,English,English,0,,
video_81546,Tap treding channel sahi ya Nahi hai hame bataye isme bahot log pesa invest kar rahe  hai jaroor bataye  hame,Unlikely,Does not contain link,Tap Treding Channel Sahi Ya Nahi Hai HAME BAHOT LOG PESA Invest Kar Rahe Hai Jaroor Bataye Hame,Indonesian,Not English,0,,
video_222016,@dhurvrathee Ek video Tron crypto currency ke bare me bana dein please,Unlikely,Does not contain link,,English,English,0,,
video_99523,Con tutte le bellissime donne russe che ci sono...pensa se Putin debba essere colpito positivamente dal tuo abbigliamento.,Unlikely,Does not contain link,With all the beautiful Russian women there are ... think if Putin should be affected positively by your clothing.,Italian,Not English,0,,
video_120238,your compromising not just youself and family when u order but it's very dangerous,Unlikely,Does not contain link,,English,English,0,,
video_50980,Are nobel dibe ki Bangladesh  ulte  or khoti kortese madarsod Bangladesh  sorkar,Unlikely,Does not contain link,Are nobel dibe ki bangladesh ulte or khoti kortese madarsod Bangladesh sorkar,Swedish,Not English,0,,
video_210741,DOGE; Department Of Government Efficiëncy (Elon Musk possible installed in Trumps new Office coming year),Unlikely,Does not contain link,,English,English,0,,
video_142217,"Thank you for being there *EXTREMETOPPERS* when I wanted you to..... I was lost in this new world that I was hassled to start with ....you not only guided me along the way but you also showed me the proper way....whatever little I have been able to achieve in life is because of you today ..... I want to thank you for being there and showing me the proper way of doing thing for me you are my best guide as you truly showed me the way to life....once again , I would like to tell you a heartfelt thanks for being there.",Likely,Does not contain link,,English,English,0,,
video_171377,"#Realsourceinvestment this isnt the first time you have done something incredible, you are the future no cap >â",Unlikely,Does not contain link,,English,English,0,,
video_244080,So he open the box now theirs ghost in the house,Unlikely,Does not contain link,,English,English,0,,
video_186650,"Huh Cat Gracie's token is going to make waves - be part of the fun and join now!""@huhcatgracie
$GRACIE #SOL
DiMeELXqLpLdLUBm3gTN8TsL29U7BrkjCD36oZyApump",Unlikely,Does not contain link,,English,English,0,,
video_95168,Charles Barkley stick to basketball <À This has not aged well.,Unlikely,Does not contain link,,English,English,0,,
video_87365,Lord stop talking about ya selfand get inti it ya weirdo,Unlikely,Does not contain link,,English,English,0,,
video_91619,OMG Winp Token!!! 00:35 Dude seriously what an awesome video can appreciate how much work went into this quality quality quality much love from Australia,Unlikely,Does not contain link,,English,English,0,,
video_217853,Kirim2 duit ke luar negri pke usdt. Busd. Usdc jauh lbh simple dri pda pke bank,Unlikely,Does not contain link,Send money abroad at USDT. Busd. USDC is far more simple from PKA PKE Bank,Indonesian,Not English,0,,
video_136566,Web3 Ignite IGNITE3's commitment to education sets it apart. They empower individuals with knowledge. =Ú=¡,Unlikely,Does not contain link,,English,English,0,,
video_120752,Corrupted courts bank s shannon barnum michael fant  missouri michael Fant knock it off,Unlikely,Does not contain link,,English,English,0,,
video_116010,Shiba inu 4 saal hua ha to 5 saal pahele kese paisa lagata =,Unlikely,Does not contain link,Shiba Inu 4 Saal Hua Ha To 5 Saal Pahele Kese Paisa Lagata =,Estonian,Not English,0,,
video_38187,People are so dumb and they deserve all this crap. Thanks for the video!,Unlikely,Does not contain link,,English,English,0,,
video_98604,He just said it a joke and yall still buying this shit. Smhhh,Unlikely,Does not contain link,,English,English,0,,
video_220653,"Thank you for finally admitting your wrong on some things, you have regained my respect.",Unlikely,Does not contain link,,English,English,0,,
video_225513,I used to have 10 in my account in 2013 but lost my wallet password >&<ü,Unlikely,Does not contain link,,English,English,0,,
video_211127,"Well it all left with whoever watching this to know what step to take =""",Unlikely,Does not contain link,,English,English,0,,
video_15849,I thought I was gonna see a finger or something,Unlikely,Does not contain link,,English,English,0,,
video_254070,It's called pigeon chested lot of people are born with it,Unlikely,Does not contain link,,English,English,0,,
video_230271,"If a broken clock that was right once a
Lifetime was a person",Unlikely,Does not contain link,,English,English,0,,
video_146467,WORDS ARE NOT ENOUGH TO EXPRESS MY GRATITUDE TOWARDS YOUR KINDNESS TO OUR FAMILY Thespacehackers=ácom WE ALL SAY THANK YOU VERY MUCH..,Unlikely,Does not contain link,,English,English,0,,
video_104725,It can also be a sign hidden in plain sight. So he can communicate with his team.,Unlikely,Does not contain link,,English,English,0,,
video_50353,Agar government ko masala hai to wo khud paise ly aye ye to koi bat na hoye ky koi pakistan ka acha kary to us ko khtam kar do Waqar Zaka great man hy or parha likha insan hy please us ko tang na kiya jaye ye meri appeal hai government se..,Unlikely,Does not contain link,Agar government ko masala hai to wo khud paise ly aye ye to koi bat na hoye ky koi pakistan ka acha kary to us khtam kar do waqar zaka great man hyat man hay or parha likha san hay plese na Kiya Jaye Ye Meri Appeal Hai Government Se ..,Tagalog,Not English,0,,
video_240334,He just bought $21mil in doge and named a govt department after it.  Current list .39¢,Unlikely,Does not contain link,,English,English,0,,
video_175147,This guy seems like an AI talking to me >,Unlikely,Does not contain link,,English,English,0,,
video_64052,"Holding XAI39E$ rn, and honestly, I feel like Im early to something crazy big =%",Unlikely,Does not contain link,,English,English,0,,
video_13273,I hope hes right because right now Im fuckin crushed lol,Unlikely,Does not contain link,,English,English,0,,
video_249501,Until you get a lost decade and end up right back where youd started from.,Unlikely,Does not contain link,,English,English,0,,
video_133732,Agar ye sach hua to 10 cr meri taraf se tip<,Unlikely,Does not contain link,Agar Ye Sach Hua To 10 CR Meri Taraf Se Tip <,Indonesian,Not English,0,,
video_86028,aur jab ek aur sponser aayega  ek aur video banaunga,Unlikely,Does not contain link,Aur jab ek aur sponser aayega ek aur video banaunga,Indonesian,Not English,0,,
video_4613,Elon musk suka dogecoin tapi ga punya duit buat beli dogecoin. Kasihan ya.....>#>#,Likely,Does not contain link,Elon Musk likes Dogecoin but doesn't have money to buy Dogecoin. Poor yes .....>#>#,Indonesian,Not English,0,,
video_51182,¯¾°¾ ¦Ç¶Ç° ¾¾ ¬¿¦Ç¶Ç ª¾¾° °Ç ¤¾¦Ç° Ë¨ ¦Ë· ¨Çd,Likely,Does not contain link,,English,English,0,,
video_70449,"XAI31A$ will change lives, including mine. Holding tight and ready for the journey ahead :",Unlikely,Does not contain link,,English,English,0,,
video_25404,"well done, only there's still stupid people still out there, hellbent...",Unlikely,Does not contain link,,English,English,0,,
video_150107,"'F' +'FHJ) #2G1J) H'D'E*-'F'* (9/ a` 'J'E 
'1,HCE 'D/9'! 'FJ '/.D 'DCDJ) 'DDJ FA3J AJG' H'A1- 'GDJ =O",Unlikely,Does not contain link,,English,English,0,,
video_70139,"Holding XAI31A$ rn, and honestly, I feel like Im early to something crazy big =%",Unlikely,Does not contain link,,English,English,0,,
video_149117,4 days being grounded and me secretly going on my laptop feels good,Unlikely,Does not contain link,,English,English,0,,
video_106037,Dam she looks good he probably had no idea what she said,Unlikely,Does not contain link,,English,English,0,,
video_99397,Certaine femme sont très dangereuse et peuvent renverser un pays avec leur charme et vicieuse en même temps! Bravo poutine il tombe pas dans le panneau,Unlikely,Does not contain link,Some women are very dangerous and can reverse a country with their charm and vicious at the same time! Bravo Putin he does not fall into the panel,French,Not English,0,,
video_100373,I love puttin d and shes a beautiful woman even I could imagine dirty things lol,Unlikely,Does not contain link,,English,English,0,,
video_164702,Great job bro. Those are the words what I need now as a beginner. Appreciate it =O,Unlikely,Does not contain link,,English,English,0,,
video_251988,I just came back from. 2025 June shiba inu will gonna $100 =. just wait,Unlikely,Does not contain link,,English,English,0,,
video_166123,that guy is so wrong about a lot of things..,Unlikely,Does not contain link,,English,English,0,,
video_79117,²Í²¾µ±Í±¿²Á®Í ¨¿ªÁ£°¾ °Á¨Í¤ ¨ÀÍ physical fitness la ËÍÈ µ¿ÍÁÍÀÍ³Ç ¾°Í.......=D,Likely,Does not contain link,²í²¾µ ± Í ± ¿²Á®Í ¨¿ªÁ £ ° ¾ ° á¨Í¤ ¨à in physical fitness la ë í µ¿ í á í à í ³ç ¾ ° í ....... = D,Catalan,Not English,0,,
video_68501,Please start sy course sikhaiye GA ..download sy ly KY proper tarde Krny tk ..,Unlikely,Does not contain link,,English,English,0,,
video_68256,"At the end All members will be liquidated.if they Will follow you proper.
Wesy bhai kya pee kr aty ho",Unlikely,Does not contain link,,English,English,0,,
video_115980,Bkl jo guzr gya usy chor abhi bta kahan invest karein,Unlikely,Does not contain link,Bkl jo guzr gya usy chor abhi bta kahan investment karein,Somali,Not English,0,,
video_165838,Yo Jordan love your content i look ip to the effort and dedication you put in ur vids and your grind and to be honest I look forward to what the future awaits for u. Wish nothin but da best. We comin up=È,Unlikely,Does not contain link,,English,English,0,,
video_80581,"DH DE JCF 'D(J*CHJF -1'E DCF* :FJ ,/' 'D#F
'*0C1 9F/E' C'F 391G 11 /HD'1 AB7
CF* 3#4*1J 'DC+J1 EFG
D'CF *(JF 'FG -1'E AJ 'D'3D'E AGH 9ED) :J1 -BJBJ)",Unlikely,Does not contain link,"DH de JCf 'D (J* ChJF -1'E DCF*: FJ,/' D#F
'*0c1 9f /e' c'F 391g 11 /hd'1 ab7
CF* 3#4* 1J 'DC+J1 EFG
D'C *(JF 'FG -1'E AJ' D'3D'E AGH 9ED): J1 -BJBJ)",German,Not English,0,,
video_107441,Putin smoked this chic in the interview as well lol =,Unlikely,Does not contain link,,English,English,0,,
video_166539,"'26 will be a blood bath... but $3-7,000...=== never again.",Unlikely,Does not contain link,,English,English,0,,
video_147352,Ive been a good husband to my wife and a good father to my kids since have been able to pay the family bills I really appreciate you. thanks once more  REALSOURCEINVESTMENT=áO R G,Unlikely,Does not contain link,,English,English,0,,
video_47146,"Great video bro , i watch jake tran too but you feel more geniuene to me . thank you please stay that way!",Unlikely,Does not contain link,,English,English,0,,
video_76881,Bru stop lying it dont come in no dam red rapping,Unlikely,Does not contain link,,English,English,0,,
video_37889,"Watched this months ago. Came back to watch it twice, cuz its that good&",Unlikely,Does not contain link,,English,English,0,,
video_30801,LMAO this didnt age well. thanks for the cheap entries,Unlikely,Does not contain link,,English,English,0,,
video_82815,Bhai khana bhi kha liya kr& sukh gya hai mariyal jaisa,Unlikely,Does not contain link,Bhai khana bhi kha liya kr & sukh gya hai mariyal jaisa,Somali,Not English,0,,
